VSync enabled
202 Time diff: 19984, Avg = 19997
202 KTime diff: 19998, Avg = 19998
203 Time diff: 20005, Avg = 19997
203 KTime diff: 19998, Avg = 19998
204 Time diff: 19989, Avg = 19997
204 KTime diff: 19998, Avg = 19998
205 Time diff: 20007, Avg = 19997
205 KTime diff: 19998, Avg = 19998
206 Time diff: 19990, Avg = 19997
206 KTime diff: 19998, Avg = 19998
207 Time diff: 20007, Avg = 19997
207 KTime diff: 20000, Avg = 19998
208 Time diff: 19999, Avg = 19997
208 KTime diff: 19996, Avg = 19998
209 Time diff: 19991, Avg = 19997
209 KTime diff: 19997, Avg = 19998
210 Time diff: 20005, Avg = 19997
210 KTime diff: 19999, Avg = 19998
211 Time diff: 19995, Avg = 19997
211 KTime diff: 19997, Avg = 19998
212 Time diff: 19993, Avg = 19997
212 KTime diff: 19998, Avg = 19998
213 Time diff: 20006, Avg = 19997
213 KTime diff: 19999, Avg = 19998
214 Time diff: 19993, Avg = 19997
214 KTime diff: 19998, Avg = 19998
215 Time diff: 19995, Avg = 19997
215 KTime diff: 19999, Avg = 19998
216 Time diff: 20007, Avg = 19997
216 KTime diff: 19997, Avg = 19998
217 Time diff: 19988, Avg = 19997
217 KTime diff: 19998, Avg = 19998
218 Time diff: 20007, Avg = 19997
218 KTime diff: 19998, Avg = 19998
219 Time diff: 19986, Avg = 19997
219 KTime diff: 19998, Avg = 19998
220 Time diff: 20010, Avg = 19997
220 KTime diff: 19998, Avg = 19998
221 Time diff: 19989, Avg = 19997
221 KTime diff: 19998, Avg = 19998
222 Time diff: 20004, Avg = 19997
222 KTime diff: 19998, Avg = 19998
223 Time diff: 19988, Avg = 19997
223 KTime diff: 19998, Avg = 19998
224 Time diff: 20013, Avg = 19997
224 KTime diff: 20000, Avg = 19998
225 Time diff: 20014, Avg = 19997
225 KTime diff: 19996, Avg = 19998
226 Time diff: 19987, Avg = 19997
226 KTime diff: 19999, Avg = 19998
227 Time diff: 20008, Avg = 19997
227 KTime diff: 20000, Avg = 19998
228 Time diff: 19976, Avg = 19997
228 KTime diff: 19995, Avg = 19998
229 Time diff: 20004, Avg = 19997
229 KTime diff: 19998, Avg = 19998
230 Time diff: 19995, Avg = 19997
230 KTime diff: 19997, Avg = 19998
231 Time diff: 19998, Avg = 19997
231 KTime diff: 19998, Avg = 19998
232 Time diff: 20025, Avg = 19997
232 KTime diff: 20002, Avg = 19998
233 Time diff: 19975, Avg = 19997
233 KTime diff: 19995, Avg = 19998
234 Time diff: 20001, Avg = 19997
234 KTime diff: 19998, Avg = 19998
235 Time diff: 19987, Avg = 19997
235 KTime diff: 19998, Avg = 19998
236 Time diff: 20006, Avg = 19997
236 KTime diff: 19997, Avg = 19998
237 Time diff: 19989, Avg = 19997
237 KTime diff: 19999, Avg = 19998
238 Time diff: 20013, Avg = 19997
238 KTime diff: 19997, Avg = 19998
239 Time diff: 19984, Avg = 19997
239 KTime diff: 19998, Avg = 19998
240 Time diff: 20007, Avg = 19997
240 KTime diff: 19998, Avg = 19998
241 Time diff: 19988, Avg = 19997
241 KTime diff: 19998, Avg = 19998
242 Time diff: 20009, Avg = 19997
242 KTime diff: 19999, Avg = 19998
243 Time diff: 19986, Avg = 19997
243 KTime diff: 19998, Avg = 19998
244 Time diff: 20010, Avg = 19997
244 KTime diff: 19997, Avg = 19998
245 Time diff: 19994, Avg = 19997
245 KTime diff: 19998, Avg = 19998
246 Time diff: 20010, Avg = 19997
246 KTime diff: 19999, Avg = 19998
247 Time diff: 19982, Avg = 19997
247 KTime diff: 19997, Avg = 19998
248 Time diff: 20009, Avg = 19997
248 KTime diff: 19998, Avg = 19998
249 Time diff: 19988, Avg = 19997
249 KTime diff: 20000, Avg = 19998
250 Time diff: 20041, Avg = 19997
250 KTime diff: 19997, Avg = 19998
251 Time diff: 19966, Avg = 19997
251 KTime diff: 19999, Avg = 19998
252 Time diff: 19998, Avg = 19997
252 KTime diff: 19996, Avg = 19998
253 Time diff: 19997, Avg = 19997
253 KTime diff: 19999, Avg = 19998
254 Time diff: 19992, Avg = 19997
254 KTime diff: 19998, Avg = 19998
255 Time diff: 20004, Avg = 19997
255 KTime diff: 19999, Avg = 19998
256 Time diff: 19991, Avg = 19997
256 KTime diff: 19997, Avg = 19998
257 Time diff: 20017, Avg = 19997
257 KTime diff: 19998, Avg = 19998
258 Time diff: 19991, Avg = 19997
258 KTime diff: 19999, Avg = 19998
259 Time diff: 19993, Avg = 19997
259 KTime diff: 19997, Avg = 19998
260 Time diff: 20005, Avg = 19997
260 KTime diff: 19998, Avg = 19998
261 Time diff: 19989, Avg = 19997
261 KTime diff: 19998, Avg = 19998
262 Time diff: 19993, Avg = 19997
262 KTime diff: 19999, Avg = 19998
263 Time diff: 20006, Avg = 19997
263 KTime diff: 19998, Avg = 19998
264 Time diff: 19993, Avg = 19997
264 KTime diff: 19998, Avg = 19998
265 Time diff: 19996, Avg = 19997
265 KTime diff: 19998, Avg = 19998
266 Time diff: 20006, Avg = 19997
266 KTime diff: 19999, Avg = 19998
267 Time diff: 19990, Avg = 19997
267 KTime diff: 19998, Avg = 19998
268 Time diff: 20001, Avg = 19997
268 KTime diff: 19997, Avg = 19998
269 Time diff: 19990, Avg = 19997
269 KTime diff: 19999, Avg = 19998
270 Time diff: 20010, Avg = 19997
270 KTime diff: 19998, Avg = 19998
271 Time diff: 19987, Avg = 19997
271 KTime diff: 19998, Avg = 19998
272 Time diff: 20009, Avg = 19997
272 KTime diff: 19998, Avg = 19998
273 Time diff: 19995, Avg = 19997
273 KTime diff: 19997, Avg = 19998
274 Time diff: 20002, Avg = 19997
274 KTime diff: 19999, Avg = 19998
275 Time diff: 20037, Avg = 19997
275 KTime diff: 19998, Avg = 19998
276 Time diff: 19966, Avg = 19997
276 KTime diff: 19998, Avg = 19998
277 Time diff: 19995, Avg = 19997
277 KTime diff: 19998, Avg = 19998
278 Time diff: 20005, Avg = 19997
278 KTime diff: 19999, Avg = 19998
279 Time diff: 19980, Avg = 19997
279 KTime diff: 19997, Avg = 19998
280 Time diff: 20005, Avg = 19997
280 KTime diff: 19999, Avg = 19998
281 Time diff: 19989, Avg = 19997
281 KTime diff: 19997, Avg = 19998
282 Time diff: 20018, Avg = 19997
282 KTime diff: 19998, Avg = 19998
283 Time diff: 20002, Avg = 19997
283 KTime diff: 20000, Avg = 19998
284 Time diff: 19976, Avg = 19997
284 KTime diff: 19996, Avg = 19998
285 Time diff: 20009, Avg = 19997
285 KTime diff: 19999, Avg = 19998
286 Time diff: 19985, Avg = 19997
286 KTime diff: 19998, Avg = 19998
287 Time diff: 20014, Avg = 19997
287 KTime diff: 19997, Avg = 19998
288 Time diff: 19989, Avg = 19997
288 KTime diff: 19999, Avg = 19998
289 Time diff: 19999, Avg = 19997
289 KTime diff: 19999, Avg = 19998
290 Time diff: 19988, Avg = 19997
290 KTime diff: 19998, Avg = 19998
291 Time diff: 20012, Avg = 19997
291 KTime diff: 19998, Avg = 19998
292 Time diff: 19990, Avg = 19997
292 KTime diff: 19998, Avg = 19998
293 Time diff: 20003, Avg = 19997
293 KTime diff: 19998, Avg = 19998
294 Time diff: 19989, Avg = 19997
294 KTime diff: 19998, Avg = 19998
295 Time diff: 20008, Avg = 19997
295 KTime diff: 19998, Avg = 19998
296 Time diff: 19990, Avg = 19997
296 KTime diff: 19998, Avg = 19998
297 Time diff: 20004, Avg = 19997
297 KTime diff: 19999, Avg = 19998
298 Time diff: 19993, Avg = 19997
298 KTime diff: 19997, Avg = 19998
299 Time diff: 20011, Avg = 19997
299 KTime diff: 19999, Avg = 19998
300 Time diff: 20015, Avg = 19997
300 KTime diff: 19997, Avg = 19998
301 Time diff: 19988, Avg = 19997
301 KTime diff: 19999, Avg = 19998
302 Time diff: 19982, Avg = 19997
302 KTime diff: 19998, Avg = 19998
303 Time diff: 20000, Avg = 19997
303 KTime diff: 19997, Avg = 19998
304 Time diff: 19989, Avg = 19997
304 KTime diff: 19999, Avg = 19998
305 Time diff: 20007, Avg = 19997
305 KTime diff: 19998, Avg = 19998
306 Time diff: 19991, Avg = 19997
306 KTime diff: 19997, Avg = 19998
307 Time diff: 20008, Avg = 19997
307 KTime diff: 19999, Avg = 19998
308 Time diff: 20004, Avg = 19997
308 KTime diff: 20000, Avg = 19998
309 Time diff: 19988, Avg = 19997
309 KTime diff: 19997, Avg = 19998
310 Time diff: 20000, Avg = 19997
310 KTime diff: 19997, Avg = 19998
311 Time diff: 20002, Avg = 19997
311 KTime diff: 19999, Avg = 19998
312 Time diff: 19990, Avg = 19997
312 KTime diff: 19997, Avg = 19998
313 Time diff: 20000, Avg = 19997
313 KTime diff: 19999, Avg = 19998
314 Time diff: 20005, Avg = 19997
314 KTime diff: 19999, Avg = 19998
315 Time diff: 20005, Avg = 19997
315 KTime diff: 19998, Avg = 19998
316 Time diff: 19990, Avg = 19997
316 KTime diff: 19998, Avg = 19998
317 Time diff: 19999, Avg = 19997
317 KTime diff: 19998, Avg = 19998
318 Time diff: 19986, Avg = 19997
318 KTime diff: 19999, Avg = 19998
319 Time diff: 20011, Avg = 19997
319 KTime diff: 19998, Avg = 19998
320 Time diff: 19987, Avg = 19997
320 KTime diff: 19998, Avg = 19998
321 Time diff: 20010, Avg = 19997
321 KTime diff: 19999, Avg = 19998
322 Time diff: 19985, Avg = 19997
322 KTime diff: 19998, Avg = 19998
323 Time diff: 20011, Avg = 19997
323 KTime diff: 19998, Avg = 19998
324 Time diff: 19986, Avg = 19997
324 KTime diff: 19999, Avg = 19998
325 Time diff: 20036, Avg = 19997
325 KTime diff: 19999, Avg = 19998
326 Time diff: 19976, Avg = 19997
326 KTime diff: 19999, Avg = 19998
327 Time diff: 19999, Avg = 19997
327 KTime diff: 19997, Avg = 19998
328 Time diff: 20007, Avg = 19997
328 KTime diff: 20001, Avg = 19998
329 Time diff: 19990, Avg = 19997
329 KTime diff: 19996, Avg = 19998
330 Time diff: 19994, Avg = 19997
330 KTime diff: 19998, Avg = 19998
331 Time diff: 19995, Avg = 19997
331 KTime diff: 19998, Avg = 19998
332 Time diff: 20006, Avg = 19997
332 KTime diff: 19998, Avg = 19998
333 Time diff: 20007, Avg = 19997
333 KTime diff: 20002, Avg = 19998
334 Time diff: 19985, Avg = 19997
334 KTime diff: 19994, Avg = 19998
335 Time diff: 19998, Avg = 19997
335 KTime diff: 19997, Avg = 19998
336 Time diff: 19988, Avg = 19997
336 KTime diff: 19998, Avg = 19998
337 Time diff: 20005, Avg = 19997
337 KTime diff: 19999, Avg = 19998
338 Time diff: 20000, Avg = 19997
338 KTime diff: 19997, Avg = 19998
339 Time diff: 19992, Avg = 19997
339 KTime diff: 19998, Avg = 19998
340 Time diff: 19999, Avg = 19997
340 KTime diff: 19998, Avg = 19998
341 Time diff: 20003, Avg = 19997
341 KTime diff: 19999, Avg = 19998
342 Time diff: 19991, Avg = 19997
342 KTime diff: 19998, Avg = 19998
343 Time diff: 20012, Avg = 19997
343 KTime diff: 19998, Avg = 19998
344 Time diff: 19989, Avg = 19997
344 KTime diff: 19998, Avg = 19998
345 Time diff: 19995, Avg = 19997
345 KTime diff: 19998, Avg = 19998
346 Time diff: 19995, Avg = 19997
346 KTime diff: 19997, Avg = 19998
347 Time diff: 20001, Avg = 19997
347 KTime diff: 19999, Avg = 19998
348 Time diff: 19994, Avg = 19997
348 KTime diff: 19998, Avg = 19998
349 Time diff: 20008, Avg = 19997
349 KTime diff: 19998, Avg = 19998
350 Time diff: 20040, Avg = 19997
350 KTime diff: 19998, Avg = 19998
351 Time diff: 19970, Avg = 19997
351 KTime diff: 19999, Avg = 19998
352 Time diff: 19975, Avg = 19997
352 KTime diff: 19998, Avg = 19998
353 Time diff: 20012, Avg = 19997
353 KTime diff: 19997, Avg = 19998
354 Time diff: 19984, Avg = 19997
354 KTime diff: 19998, Avg = 19998
355 Time diff: 20006, Avg = 19997
355 KTime diff: 19997, Avg = 19998
356 Time diff: 19991, Avg = 19997
