VSync enabled
522 Time diff: 25251, Avg = 19995<------ Not in time!
523 Time diff: 14751, Avg = 19985<------ Not in time!
524 Time diff: 19990, Avg = 19985
525 Time diff: 20006, Avg = 19985
526 Time diff: 19995, Avg = 19985
527 Time diff: 20004, Avg = 19985
528 Time diff: 20005, Avg = 19985
529 Time diff: 19996, Avg = 19985
530 Time diff: 19989, Avg = 19985
531 Time diff: 20006, Avg = 19985
532 Time diff: 19992, Avg = 19985
533 Time diff: 20007, Avg = 19985
534 Time diff: 19993, Avg = 19985
535 Time diff: 20005, Avg = 19985
536 Time diff: 19996, Avg = 19985
537 Time diff: 25253, Avg = 19995<------ Not in time!
538 Time diff: 14744, Avg = 19985<------ Not in time!
539 Time diff: 20006, Avg = 19985
540 Time diff: 19996, Avg = 19985
541 Time diff: 20005, Avg = 19985
542 Time diff: 20005, Avg = 19985
543 Time diff: 19998, Avg = 19985
544 Time diff: 19989, Avg = 19985
545 Time diff: 20004, Avg = 19985
546 Time diff: 19995, Avg = 19985
547 Time diff: 20004, Avg = 19985
548 Time diff: 19994, Avg = 19985
549 Time diff: 20005, Avg = 19985
550 Time diff: 20012, Avg = 19985
551 Time diff: 19987, Avg = 19985
552 Time diff: 25250, Avg = 19995<------ Not in time!
553 Time diff: 14751, Avg = 19985<------ Not in time!
554 Time diff: 19993, Avg = 19985
555 Time diff: 20004, Avg = 19985
556 Time diff: 20007, Avg = 19985
557 Time diff: 19997, Avg = 19985
558 Time diff: 19989, Avg = 19985
559 Time diff: 20004, Avg = 19985
560 Time diff: 19996, Avg = 19985
561 Time diff: 20003, Avg = 19985
562 Time diff: 19997, Avg = 19986
563 Time diff: 20104, Avg = 19986
564 Time diff: 19899, Avg = 19986
565 Time diff: 20001, Avg = 19986
566 Time diff: 19991, Avg = 19986
567 Time diff: 25258, Avg = 19995<------ Not in time!
568 Time diff: 14743, Avg = 19986<------ Not in time!
569 Time diff: 20004, Avg = 19986
570 Time diff: 20005, Avg = 19986
571 Time diff: 19998, Avg = 19986
572 Time diff: 19988, Avg = 19986
573 Time diff: 20007, Avg = 19986
574 Time diff: 19996, Avg = 19986
575 Time diff: 20002, Avg = 19986
576 Time diff: 19993, Avg = 19986
577 Time diff: 20006, Avg = 19986
578 Time diff: 19994, Avg = 19986
579 Time diff: 20005, Avg = 19986
580 Time diff: 19992, Avg = 19986
581 Time diff: 20007, Avg = 19986
582 Time diff: 25250, Avg = 19995<------ Not in time!
583 Time diff: 14750, Avg = 19986<------ Not in time!
584 Time diff: 20007, Avg = 19986
585 Time diff: 19996, Avg = 19986
586 Time diff: 19988, Avg = 19986
587 Time diff: 20006, Avg = 19986
588 Time diff: 19993, Avg = 19986
589 Time diff: 20006, Avg = 19986
590 Time diff: 19993, Avg = 19986
591 Time diff: 20006, Avg = 19986
592 Time diff: 19993, Avg = 19986
593 Time diff: 20007, Avg = 19986
594 Time diff: 19993, Avg = 19986
595 Time diff: 20005, Avg = 19986
596 Time diff: 19993, Avg = 19986
597 Time diff: 25258, Avg = 19995<------ Not in time!
598 Time diff: 14764, Avg = 19986<------ Not in time!
599 Time diff: 19991, Avg = 19986
600 Time diff: 20002, Avg = 19986
601 Time diff: 19992, Avg = 19986
602 Time diff: 19996, Avg = 19986
603 Time diff: 20002, Avg = 19986
604 Time diff: 19994, Avg = 19986
605 Time diff: 20003, Avg = 19986
606 Time diff: 19994, Avg = 19986
607 Time diff: 20006, Avg = 19987
608 Time diff: 19993, Avg = 19987
609 Time diff: 20006, Avg = 19987
610 Time diff: 19993, Avg = 19987
611 Time diff: 20006, Avg = 19987
612 Time diff: 25265, Avg = 19995<------ Not in time!
